Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Credit_Score
40,Teacher,33751,5,5,0.2,3,16,20,8,Standard,1328,0.29,234,1
40,Teacher,33751,5,5,0.2,3,16,20,8,Standard,1328,0.33,235,1
40,Teacher,33751,5,5,0.2,3,16,20,8,Standard,1328,0.36,236,1
32,Engineer,88640,3,6,0.01,2,0,0,3,Good,950,0.28,305,1
33,Engineer,88640,3,6,0.01,2,4,0,3,Good,950,0.35,307,1
33,Engineer,88640,3,6,0.01,2,4,2,3,Good,950,0.32,308,1
33,Engineer,88640,3,6,0.01,2,4,2,3,Good,950,0.35,309,2
33,Engineer,88640,3,6,0.01,2,4,0,3,Good,950,0.38,310,2
35,Entrepreneur,54392,6,4,0.14,3,10,8,3,Standard,179,0.26,322,1
35,Entrepreneur,54392,6,4,0.14,3,10,10,3,Standard,179,0.29,323,1
35,Entrepreneur,54392,6,4,0.14,3,10,7,3,Standard,179,0.27,325,1
35,Entrepreneur,54392,6,4,0.14,3,10,8,3,Standard,179,0.35,326,1
36,Entrepreneur,54392,6,4,0.14,3,10,8,7,Standard,179,0.35,328,1
36,Entrepreneur,54392,6,4,0.14,3,10,8,7,Standard,179,0.33,329,1
39,Manager,8701,6,5,0.32,7,23,9,6,Standard,2602,0.4,108,0
39,Manager,8701,6,5,0.32,7,22,7,6,Standard,2602,0.32,110,0
39,Manager,8701,6,5,0.32,7,22,9,6,Standard,2602,0.37,111,0
39,Manager,8701,6,5,0.32,7,23,6,6,Standard,2602,0.29,112,0
39,Manager,8701,6,5,0.32,7,23,9,9,Standard,2602,0.29,114,0
36,Entrepreneur,25546,8,7,0.14,5,16,14,5,Standard,758,0.37,218,1
37,Entrepreneur,25546,8,7,0.14,5,16,10,5,Standard,758,0.25,220,1
37,Entrepreneur,25546,8,7,0.14,5,16,14,5,Standard,758,0.3,224,1
37,Entrepreneur,25546,8,7,0.14,5,15,13,5,Standard,758,0.39,225,1
30,Scientist,31993,6,6,0.07,2,8,14,0,Standard,818,0.25,202,1
30,Scientist,31993,6,6,0.07,2,12,14,0,Standard,818,0.38,203,1
30,Scientist,31993,6,6,0.07,2,8,14,1,Standard,818,0.31,206,1
31,Scientist,31993,6,6,0.07,2,8,14,1,Standard,818,0.34,207,1
31,Scientist,31993,6,6,0.07,2,8,16,1,Standard,818,0.36,209,1
45,Teacher,32284,6,7,0.17,6,11,12,8,Standard,1283,0.29,77,1
46,Teacher,32284,6,7,0.17,6,11,12,8,Standard,1283,0.28,78,1
46,Teacher,32284,6,7,0.17,6,10,12,8,Standard,1283,0.28,79,1
46,Teacher,32284,6,7,0.17,6,11,12,8,Standard,1283,0.38,80,1
46,Teacher,32284,6,7,0.17,6,11,12,10,Standard,1283,0.27,82,1
46,Teacher,32284,6,7,0.17,6,13,12,10,Standard,1283,0.28,84,1
26,Musician,97791,6,6,0.12,0,18,8,1,Standard,107,0.26,326,1
26,Musician,97791,6,6,0.12,0,19,8,1,Standard,107,0.27,329,2
26,Musician,97791,6,6,0.12,0,16,8,1,Standard,107,0.45,331,2
26,Musician,97791,6,6,0.12,0,18,8,1,Standard,107,0.29,332,1
26,Musician,97791,6,6,0.12,0,18,8,1,Standard,107,0.34,333,2
31,Entrepreneur,19300,6,7,0.17,5,51,18,7,Bad,2430,0.37,219,0
31,Entrepreneur,19300,6,7,0.17,5,51,19,7,Bad,2430,0.29,221,1
32,Entrepreneur,19300,6,7,0.17,5,53,19,8,Bad,2430,0.24,225,1
41,Musician,19514,7,5,0.17,0,30,12,2,Standard,881,0.34,233,1
41,Musician,19514,7,5,0.17,0,30,15,2,Standard,881,0.27,237,0
41,Media_Manager,10183,7,5,0.17,5,48,18,6,Bad,1672,0.32,122,0
41,Media_Manager,10183,7,5,0.17,5,48,23,6,Bad,1672,0.24,123,0
42,Media_Manager,10183,7,5,0.17,5,48,21,6,Bad,1672,0.37,128,0
31,Lawyer,12600,5,5,0.1,3,25,16,7,Standard,569,0.23,149,1
32,Lawyer,12600,5,5,0.1,3,20,19,7,Standard,569,0.37,151,0
32,Lawyer,12600,5,5,0.1,3,25,19,7,Standard,569,0.37,152,0
32,Lawyer,12600,5,5,0.1,3,25,19,11,Standard,569,0.32,154,0
48,Entrepreneur,20787,8,6,0.14,3,22,14,3,Standard,614,0.24,214,1
48,Entrepreneur,20787,8,6,0.14,3,22,12,3,Standard,614,0.37,217,1
48,Entrepreneur,20787,8,6,0.14,3,22,14,3,Standard,614,0.29,218,1
30,Writer,34290,9,8,0.25,7,52,10,9,Standard,2686,0.39,164,0
30,Writer,34290,9,8,0.25,7,52,12,13,Standard,2686,0.35,170,1
32,Accountant,43070,3,3,0.18,1,11,8,4,Standard,1233,0.28,230,1
32,Accountant,43070,3,3,0.18,1,13,8,4,Standard,1233,0.28,231,1
32,Accountant,43070,3,3,0.18,1,15,8,4,Standard,1233,0.28,232,1
32,Accountant,43070,3,3,0.18,1,10,8,8,Standard,1233,0.26,234,1
32,Accountant,43070,3,3,0.18,1,8,8,8,Standard,1233,0.39,235,1
32,Accountant,43070,3,3,0.18,1,11,8,8,Standard,1233,0.35,236,1
40,Architect,28572,6,3,0.15,3,25,9,0,Standard,400,0.36,364,1
40,Architect,28572,6,3,0.15,3,25,12,2,Standard,400,0.38,367,1
37,Manager,39641,10,8,0.25,6,61,16,8,Bad,2258,0.26,108,1
37,Manager,39641,10,8,0.25,6,61,16,8,Bad,2258,0.28,109,0
38,Manager,39641,10,8,0.25,6,61,13,8,Bad,2258,0.35,111,0
55,Scientist,20186,1,5,0.01,2,4,3,4,Good,413,0.32,221,2
55,Scientist,20186,1,5,0.01,2,5,6,4,Good,413,0.36,225,1
43,Musician,18627,7,7,0.19,6,31,21,7,Bad,1793,0.39,225,0
43,Musician,18627,7,7,0.19,6,31,21,7,Bad,1793,0.35,226,0
43,Musician,18627,7,7,0.19,6,31,21,7,Bad,1793,0.27,227,0
43,Musician,18627,7,7,0.19,6,31,22,7,Bad,1793,0.36,228,1
43,Musician,18627,7,7,0.19,6,31,21,7,Bad,1793,0.36,230,0
43,Musician,18627,7,7,0.19,6,26,21,7,Bad,1793,0.23,231,0
44,Musician,18627,7,7,0.19,6,31,18,7,Bad,1793,0.39,232,0
21,Engineer,12986,4,3,0.1,2,29,17,7,Standard,1489,0.25,105,1
21,Engineer,12986,4,3,0.1,2,30,20,7,Standard,1489,0.26,106,1
22,Engineer,12986,4,3,0.1,2,30,18,7,Standard,1489,0.38,108,1
22,Engineer,12986,4,3,0.1,2,30,17,7,Standard,1489,0.27,109,1
22,Engineer,12986,4,3,0.1,2,28,17,7,Standard,1489,0.32,111,1
43,Writer,58317,8,5,0.09,6,18,17,6,Standard,98,0.4,157,1
43,Writer,58317,8,5,0.09,6,18,20,6,Standard,98,0.28,158,1
44,Writer,58317,8,5,0.09,6,18,20,10,Standard,98,0.28,163,1
36,Scientist,42171,2,7,0.1,3,4,10,4,Good,556,0.33,257,1
36,Scientist,42171,2,7,0.1,3,4,8,4,Good,556,0.27,258,1
37,Scientist,42171,2,7,0.1,3,2,10,4,Good,556,0.34,260,2
37,Scientist,42171,2,7,0.1,3,4,10,4,Good,556,0.32,261,2
37,Scientist,42171,2,7,0.1,3,4,10,4,Good,556,0.36,264,1
36,Manager,71681,3,6,0.15,1,8,6,0,Standard,1293,0.3,308,1
36,Manager,71681,3,6,0.15,1,8,10,0,Standard,1293,0.29,309,1
36,Manager,71681,3,6,0.15,1,4,8,0,Standard,1293,0.33,310,2
36,Manager,71681,3,6,0.15,1,5,6,0,Standard,1293,0.35,312,2
36,Manager,71681,3,6,0.15,1,8,8,0,Standard,1293,0.38,314,2
36,Musician,15566,8,5,0.32,4,17,20,7,Standard,1693,0.24,95,0
37,Musician,15566,8,5,0.32,4,13,23,9,Standard,1693,0.31,99,0
37,Musician,15566,8,5,0.32,4,17,23,9,Standard,1693,0.37,101,1
32,Media_Manager,12909,5,5,0.13,0,22,14,1,Standard,602,0.31,205,1
32,Media_Manager,12909,5,5,0.13,0,22,14,1,Standard,602,0.38,206,1
33,Media_Manager,12909,5,5,0.13,0,20,14,1,Standard,602,0.32,207,1
33,Media_Manager,12909,5,5,0.13,0,22,15,1,Standard,602,0.29,208,1
33,Media_Manager,12909,5,5,0.13,0,22,16,3,Standard,602,0.4,211,1
33,Accountant,30788,7,9,0.31,6,49,20,9,Bad,3470,0.4,15,1
33,Accountant,30788,7,9,0.31,6,49,20,9,Bad,3470,0.28,17,1
33,Accountant,30788,7,9,0.31,6,45,21,9,Bad,3470,0.35,19,1
33,Accountant,30788,7,9,0.31,6,49,20,9,Bad,3470,0.27,20,1
42,Architect,20574,6,3,0.14,4,6,10,6,Standard,749,0.37,132,1
42,Architect,20574,6,3,0.14,4,6,10,11,Standard,749,0.38,136,1
42,Architect,20574,6,3,0.14,4,1,7,11,Standard,749,0.38,137,1
22,Lawyer,148699,3,4,0.05,3,13,6,1,Good,949,0.31,370,2
22,Lawyer,148699,3,4,0.05,3,13,6,1,Good,949,0.27,372,2
22,Lawyer,148699,3,4,0.05,3,16,8,1,Good,949,0.41,374,2
27,Architect,14165,7,10,0.33,9,55,24,11,Bad,2797,0.33,168,0
27,Architect,14165,7,10,0.33,9,59,24,11,Bad,2797,0.28,171,0
27,Architect,14165,7,10,0.33,9,55,24,11,Bad,2797,0.31,172,0
27,Architect,14165,7,10,0.33,9,59,24,11,Bad,2797,0.32,173,0
30,Teacher,87215,2,6,0.08,2,2,5,0,Good,680,0.34,252,2
30,Teacher,87215,2,6,0.08,2,2,5,0,Good,680,0.3,254,2
30,Teacher,87215,2,6,0.08,2,2,8,0,Good,680,0.36,255,2
43,Lawyer,81842,10,9,0.25,9,20,19,9,Bad,3053,0.39,4,1
43,Lawyer,81842,10,9,0.25,9,20,19,9,Bad,3053,0.24,6,1
43,Lawyer,81842,10,9,0.25,9,20,17,11,Bad,3053,0.31,8,1
43,Lawyer,81842,10,9,0.25,9,20,19,11,Bad,3053,0.29,9,1
43,Lawyer,81842,10,9,0.25,9,20,19,11,Bad,3053,0.25,10,1
38,Doctor,95956,8,4,0.11,2,23,10,2,Standard,1079,0.36,380,1
38,Doctor,95956,8,4,0.11,2,22,13,2,Standard,1079,0.37,383,1
38,Doctor,95956,8,4,0.11,2,23,10,2,Standard,1079,0.28,385,2
25,Manager,49967,7,6,0.31,6,27,11,11,Standard,2253,0.29,202,0
26,Manager,49967,7,6,0.31,6,27,11,11,Standard,2253,0.39,204,0
26,Manager,49967,7,6,0.31,6,27,11,11,Standard,2253,0.23,205,0
26,Manager,49967,6,5,0.31,6,27,14,11,Standard,2253,0.37,207,0
43,Developer,14129,8,5,0.21,8,62,17,6,Bad,4071,0.36,151,0
44,Developer,14129,8,5,0.21,8,62,18,6,Bad,4071,0.36,158,0
42,Developer,123732,4,3,0.11,0,15,8,3,Good,1154,0.43,327,2
43,Developer,123732,4,3,0.11,0,15,8,3,Good,1154,0.33,329,1
36,Writer,17251,6,3,0.07,7,8,15,6,Standard,2431,0.37,137,1
37,Writer,17251,6,3,0.07,7,5,12,6,Standard,2431,0.28,138,1
37,Writer,17251,6,3,0.07,7,10,15,6,Standard,2431,0.28,139,1
37,Writer,17251,6,3,0.07,7,8,15,10,Standard,2431,0.34,140,1
22,Entrepreneur,36822,8,7,0.06,4,14,19,4,Standard,125,0.23,297,1
23,Entrepreneur,36822,8,7,0.06,4,14,19,5,Standard,125,0.35,299,2
23,Entrepreneur,36822,8,7,0.06,4,15,19,5,Standard,125,0.39,303,2
25,Doctor,80108,5,3,0.17,0,25,19,1,Standard,997,0.39,211,1
25,Doctor,80108,5,3,0.17,0,25,16,1,Standard,997,0.27,213,1
25,Doctor,80108,5,3,0.17,0,25,19,4,Standard,997,0.39,217,1
25,Doctor,80108,5,3,0.17,0,25,19,4,Standard,997,0.28,218,1
21,Scientist,69977,10,7,0.2,9,49,19,11,Bad,3042,0.3,158,1
45,Journalist,41746,8,5,0.31,3,62,22,8,Bad,1936,0.3,230,1
45,Journalist,41746,8,5,0.31,3,62,20,8,Bad,1936,0.24,231,1
45,Journalist,41746,8,5,0.31,3,62,21,11,Bad,1936,0.38,232,0
45,Journalist,41746,8,5,0.31,3,62,18,11,Bad,1936,0.3,233,1
46,Journalist,41746,8,5,0.31,3,59,23,11,Bad,1936,0.23,235,0
33,Musician,88362,5,2,0.08,3,15,10,4,Good,325,0.37,369,2
33,Musician,88362,5,2,0.08,3,17,8,4,Good,325,0.27,370,1
34,Musician,88362,5,2,0.08,3,15,8,4,Good,325,0.32,371,2
34,Musician,88362,5,2,0.08,3,15,6,6,Good,325,0.38,373,2
45,Entrepreneur,118248,5,1,0.04,0,13,10,4,Good,191,0.29,205,2
45,Entrepreneur,118248,5,1,0.04,0,13,7,4,Good,191,0.33,207,2
45,Entrepreneur,118248,5,1,0.04,0,13,7,4,Good,191,0.44,208,2
45,Entrepreneur,118248,5,1,0.04,0,13,10,8,Good,191,0.29,209,1
45,Entrepreneur,118248,5,1,0.04,0,18,13,8,Good,191,0.29,212,2
26,Scientist,60162,5,7,0.05,7,18,10,7,Standard,1037,0.36,158,1
26,Scientist,60162,5,7,0.05,7,18,10,7,Standard,1037,0.33,159,1
26,Scientist,60162,5,7,0.05,7,18,12,9,Standard,1037,0.28,161,1
26,Scientist,60162,5,7,0.05,7,18,13,9,Standard,1037,0.26,164,1
42,Entrepreneur,58674,8,5,0.15,4,59,23,11,Bad,2425,0.36,159,0
42,Entrepreneur,58674,8,5,0.15,4,57,23,11,Bad,2425,0.34,161,1
42,Entrepreneur,58674,8,5,0.15,4,57,25,11,Bad,2425,0.35,162,1
30,Architect,30390,5,6,0.05,4,19,23,4,Standard,580,0.34,292,1
30,Architect,30390,5,6,0.05,4,19,18,4,Standard,580,0.36,293,1
30,Architect,30390,5,6,0.05,4,19,17,4,Standard,580,0.35,294,1
30,Architect,30390,5,6,0.05,4,15,18,4,Standard,580,0.38,295,1
30,Architect,30390,5,6,0.05,4,16,20,4,Standard,580,0.31,296,1
42,Doctor,45207,8,8,0.24,6,21,20,9,Bad,2497,0.27,196,0
42,Doctor,45207,8,8,0.24,6,24,22,9,Bad,2497,0.34,197,0
42,Doctor,45207,8,8,0.24,6,26,21,9,Bad,2497,0.24,198,0
43,Doctor,45207,8,8,0.24,6,25,20,9,Bad,2497,0.29,200,0
43,Doctor,45207,8,8,0.24,6,22,20,9,Bad,2497,0.29,202,0
38,Engineer,30346,5,4,0.14,7,27,9,5,Standard,523,0.28,100,1
39,Engineer,30346,5,4,0.14,7,29,9,5,Standard,523,0.3,101,1
39,Engineer,30346,5,4,0.14,7,26,9,5,Standard,523,0.4,106,1
39,Engineer,30346,5,4,0.14,7,29,6,5,Standard,523,0.26,107,1
46,Mechanic,18681,2,3,0.09,2,6,8,1,Good,327,0.28,369,1
46,Mechanic,18681,2,3,0.09,2,6,8,3,Good,327,0.27,371,2
47,Mechanic,18681,2,3,0.09,2,6,8,3,Good,327,0.3,374,2
47,Mechanic,18681,2,3,0.09,2,6,8,3,Good,327,0.37,375,2
47,Mechanic,18681,2,3,0.09,2,6,6,3,Good,327,0.4,376,2
41,Scientist,9841,8,9,0.31,5,65,15,8,Bad,4984,0.33,54,1
42,Scientist,9841,8,9,0.31,5,61,15,8,Bad,4984,0.39,56,1
42,Scientist,9841,8,9,0.31,5,61,15,10,Bad,4984,0.34,58,1
42,Scientist,9841,8,9,0.31,5,61,15,10,Bad,4984,0.38,59,1
35,Media_Manager,72330,0,3,0.11,1,2,6,1,Good,596,0.32,393,2
35,Media_Manager,72330,0,3,0.11,1,1,6,1,Good,596,0.27,394,2
35,Media_Manager,72330,0,3,0.11,1,2,6,1,Good,596,0.3,395,2
35,Media_Manager,72330,0,3,0.11,1,1,6,1,Good,596,0.4,396,2
35,Media_Manager,72330,0,3,0.11,1,1,6,1,Good,596,0.42,398,1
35,Media_Manager,72330,0,3,0.11,1,1,6,1,Good,596,0.25,399,2
24,Teacher,129067,1,3,0.01,4,9,5,0,Good,137,0.24,319,2
25,Teacher,129067,1,3,0.01,4,9,6,0,Good,137,0.33,323,2
25,Teacher,129067,1,3,0.01,4,9,5,0,Good,137,0.25,325,2
34,Architect,17001,6,5,0.05,1,11,20,0,Standard,1093,0.26,208,1
34,Architect,17001,6,5,0.05,1,10,18,0,Standard,1093,0.29,209,0
34,Architect,17001,6,5,0.05,1,10,21,2,Standard,1093,0.25,212,1
34,Architect,17001,6,5,0.05,1,5,20,2,Standard,1093,0.35,213,1
21,Accountant,44719,6,6,0.29,7,41,19,11,Bad,3818,0.31,155,0
21,Accountant,44719,6,6,0.29,7,39,20,11,Bad,3818,0.31,156,0
21,Accountant,44719,6,6,0.29,7,47,21,11,Bad,3818,0.28,157,0
21,Accountant,44719,6,6,0.29,7,47,20,11,Bad,3818,0.31,158,0
21,Accountant,44719,6,6,0.29,7,46,19,14,Bad,3818,0.29,162,0
47,Accountant,17787,8,4,0.16,2,0,15,0,Standard,730,0.27,357,1
47,Accountant,17787,8,4,0.16,2,2,15,0,Standard,730,0.26,359,1
47,Accountant,17787,8,4,0.16,2,7,16,0,Standard,730,0.34,362,1
48,Accountant,17787,8,4,0.16,2,5,15,0,Standard,730,0.3,364,1
41,Teacher,103353,3,3,0.06,1,4,7,2,Good,1374,0.34,309,1
42,Teacher,103353,3,3,0.06,1,4,9,2,Good,1374,0.23,310,2
42,Teacher,103353,3,3,0.06,1,4,12,2,Good,1374,0.42,314,2
38,Journalist,31021,7,7,0.11,4,16,21,4,Standard,852,0.31,394,1
38,Journalist,31021,7,7,0.11,4,21,20,7,Standard,852,0.33,396,1
38,Journalist,31021,7,7,0.11,4,16,20,7,Standard,852,0.34,398,1
38,Journalist,31021,7,7,0.11,4,20,20,7,Standard,852,0.37,399,1
38,Journalist,31021,7,7,0.11,4,16,20,7,Standard,852,0.38,400,1
36,Journalist,134978,8,5,0.15,2,12,16,3,Standard,668,0.46,315,1
36,Journalist,134978,8,5,0.15,2,9,14,3,Standard,668,0.25,316,1
36,Journalist,134978,8,5,0.15,2,9,17,3,Standard,668,0.32,317,2
36,Journalist,134978,8,5,0.15,2,9,16,3,Standard,668,0.42,318,2
36,Journalist,134978,8,5,0.15,2,9,16,5,Standard,668,0.36,319,2
37,Journalist,134978,8,5,0.15,2,9,16,5,Standard,668,0.39,320,2
37,Journalist,134978,8,5,0.15,2,9,15,5,Standard,668,0.39,321,2
28,Writer,39800,7,5,0.12,3,17,18,4,Standard,660,0.3,215,1
28,Writer,39800,7,5,0.12,3,17,18,4,Standard,660,0.41,216,2
28,Writer,39800,7,5,0.12,3,17,20,4,Standard,660,0.33,217,1
28,Writer,39800,7,5,0.12,3,17,18,4,Standard,660,0.26,218,1
28,Writer,39800,7,5,0.12,3,17,20,4,Standard,660,0.29,220,1
21,Architect,66105,6,8,0.31,5,26,23,9,Bad,1549,0.28,137,0
21,Architect,66105,6,8,0.31,5,23,22,9,Bad,1549,0.32,138,0
22,Architect,66105,6,8,0.31,5,26,22,12,Bad,1549,0.25,141,0
28,Mechanic,15398,1,7,0.05,4,1,0,3,Good,343,0.39,340,1
28,Mechanic,15398,1,7,0.05,4,1,1,3,Good,343,0.33,341,1
28,Mechanic,15398,1,7,0.05,4,1,0,8,Good,343,0.38,342,1
28,Mechanic,15398,1,7,0.05,4,0,0,8,Good,343,0.31,343,1
28,Mechanic,15398,1,7,0.05,4,1,0,8,Good,343,0.41,344,1
28,Mechanic,15398,1,7,0.05,4,1,1,8,Good,343,0.28,346,1
53,Engineer,17992,3,5,0.06,0,8,12,2,Good,565,0.25,230,0
53,Engineer,17992,3,5,0.06,0,5,10,3,Good,565,0.31,232,0
55,Musician,139354,3,3,0.18,0,15,18,3,Standard,519,0.32,243,2
55,Musician,139354,3,3,0.18,0,19,16,3,Standard,519,0.41,244,2
56,Musician,139354,3,3,0.18,0,15,16,4,Standard,519,0.39,246,1
22,Teacher,18305,2,1,0.04,0,11,12,2,Good,363,0.26,243,2
22,Teacher,18305,2,1,0.04,0,14,8,3,Good,363,0.4,245,2
22,Teacher,18305,2,1,0.04,0,14,9,3,Good,363,0.3,247,2
25,Journalist,27865,4,3,0.06,1,22,18,5,Standard,635,0.27,364,1
25,Journalist,27865,4,3,0.06,1,22,18,5,Standard,635,0.24,366,1
25,Journalist,27865,4,3,0.06,1,22,19,5,Standard,635,0.31,367,1
25,Journalist,27865,4,3,0.06,1,22,18,5,Standard,635,0.24,368,1
26,Journalist,27865,4,3,0.06,1,27,18,5,Standard,635,0.27,369,1
26,Journalist,27865,4,3,0.06,1,22,18,5,Standard,635,0.26,371,0
36,Architect,23404,6,5,0.07,0,14,17,5,Standard,35,0.34,343,1
36,Architect,23404,6,5,0.07,0,12,17,5,Standard,35,0.35,347,1
36,Architect,23404,6,5,0.07,0,12,16,5,Standard,35,0.28,348,1
36,Architect,23404,6,5,0.07,0,12,17,5,Standard,35,0.32,350,1
33,Musician,14205,7,10,0.21,8,33,18,16,Bad,4845,0.26,161,0
33,Musician,14205,7,10,0.21,8,35,19,16,Bad,4845,0.31,162,0
28,Scientist,62320,9,9,0.18,5,26,15,10,Bad,3589,0.32,16,1
28,Scientist,62320,9,9,0.18,5,23,15,15,Bad,3589,0.39,17,1
28,Scientist,62320,9,9,0.18,5,22,17,15,Bad,3589,0.34,18,1
28,Scientist,62320,9,9,0.18,5,23,15,15,Bad,3589,0.35,19,1
28,Scientist,62320,9,9,0.18,5,23,17,15,Bad,3589,0.37,20,1
25,Manager,43758,5,6,0.12,2,9,2,1,Good,1194,0.29,397,2
25,Manager,43758,5,6,0.12,2,13,2,1,Good,1194,0.28,398,2
25,Manager,43758,5,6,0.12,2,13,0,2,Good,1194,0.31,401,2
38,Media_Manager,108147,3,6,0.06,4,14,20,0,Standard,1113,0.36,345,1
38,Media_Manager,108147,3,6,0.06,4,13,19,0,Standard,1113,0.4,346,1
38,Media_Manager,108147,3,6,0.06,4,14,20,0,Standard,1113,0.3,349,1
38,Media_Manager,108147,3,6,0.06,4,13,20,2,Standard,1113,0.28,351,2
38,Media_Manager,108147,3,6,0.06,4,14,20,2,Standard,1113,0.36,352,2
27,Lawyer,17759,6,8,0.19,5,20,20,10,Bad,3598,0.27,57,1
27,Lawyer,17759,6,8,0.19,5,24,21,10,Bad,3598,0.39,59,0
27,Lawyer,17759,6,8,0.19,5,24,20,10,Bad,3598,0.29,60,0
28,Lawyer,17759,6,8,0.19,5,24,23,10,Bad,3598,0.26,63,0
28,Lawyer,17759,6,8,0.19,5,26,20,10,Bad,3598,0.28,64,0
37,Teacher,85328,3,4,0.11,1,11,17,1,Good,585,0.28,379,2
37,Teacher,85328,3,4,0.11,1,12,17,2,Good,585,0.3,382,2
37,Teacher,85328,3,4,0.11,1,12,14,2,Good,585,0.38,384,2
37,Teacher,85328,3,4,0.11,1,12,17,2,Good,585,0.26,385,2
26,Writer,134321,3,5,0.12,4,26,19,3,Standard,1428,0.27,392,1
27,Writer,134321,3,5,0.12,4,26,21,3,Standard,1428,0.32,396,2
27,Writer,134321,3,5,0.12,4,26,19,3,Standard,1428,0.41,397,2
27,Writer,134321,3,5,0.12,4,26,19,3,Standard,1428,0.24,398,2
27,Writer,134321,3,5,0.12,4,29,20,3,Standard,1428,0.36,399,1
24,Lawyer,61008,10,5,0.32,4,16,19,12,Standard,1755,0.27,105,0
24,Lawyer,61008,10,5,0.32,4,16,19,12,Standard,1755,0.32,106,0
24,Lawyer,61008,10,5,0.32,4,16,19,12,Standard,1755,0.33,107,0
24,Lawyer,61008,10,5,0.32,4,16,19,12,Standard,1755,0.33,108,0
31,Architect,38364,9,6,0.32,4,34,22,11,Bad,1973,0.26,232,0
32,Architect,38364,9,6,0.32,4,34,22,11,Bad,1973,0.26,233,0
32,Architect,38364,9,6,0.32,4,34,22,11,Bad,1973,0.26,234,0
32,Architect,38364,9,6,0.32,4,31,20,11,Bad,1973,0.32,235,0
32,Architect,38364,9,6,0.32,4,34,22,11,Bad,1973,0.24,236,0
21,Lawyer,66528,5,5,0.11,0,19,8,2,Standard,1460,0.38,269,1
21,Lawyer,66528,5,5,0.11,0,15,9,2,Standard,1460,0.33,270,1
55,Doctor,19403,1,7,0.03,3,13,11,2,Good,339,0.37,197,1
