Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Credit_Score
40,9983,7,11,0.15,5,22,16,11,Standard,1823,0.26,117,Standard
30,132872,3,3,0.1,2,14,5,4,Good,89,0.3,339,Good
42,140014,3,7,0.18,4,27,9,3,Standard,1151,0.27,212,Standard
48,37071,1,6,0.06,4,14,8,3,Good,869,0.3,227,Standard
38,40391,10,7,0.18,3,33,23,12,Bad,1950,0.39,102,Poor
27,15013,7,4,0.14,6,23,9,5,Standard,1403,0.35,148,Standard
44,126006,4,3,0.2,3,13,13,0,Standard,385,0.4,318,Standard
49,102885,3,5,0.16,1,14,14,4,Standard,605,0.31,353,Standard
26,77418,7,9,0.2,7,38,23,9,Bad,3962,0.23,143,Poor
46,24199,3,7,0.06,1,29,14,4,Good,784,0.38,260,Good
48,28587,4,1,0.07,0,0,2,1,Good,1496,0.28,297,Good
32,16578,3,5,0.15,2,10,13,7,Standard,1054,0.33,280,Standard
23,16852,4,6,0.09,0,27,13,8,Standard,775,0.3,354,Good
27,91690,2,6,0.02,2,6,8,4,Good,1295,0.26,378,Good
37,30502,8,7,0.24,7,25,20,8,Standard,1672,0.38,180,Poor
21,30272,3,3,0.15,1,30,8,9,Standard,180,0.27,197,Standard
50,28681,3,5,0.02,0,2,5,4,Good,467,0.32,234,Good
33,115643,3,7,0.02,3,18,1,1,Good,951,0.39,222,Poor
34,9133,6,7,0.34,6,61,16,11,Bad,3035,0.28,114,Good
24,66502,0,6,0.01,2,29,10,2,Good,276,0.36,231,Poor
34,9444,7,8,0.28,6,26,11,7,Standard,1701,0.26,71,Poor
47,70112,1,7,0.03,2,5,3,5,Good,877,0.34,305,Poor
37,10025,10,10,0.21,7,23,14,12,Standard,1409,0.34,190,Poor
39,64036,8,4,0.15,4,31,15,9,Standard,1635,0.35,99,Standard
22,86522,8,5,0.13,1,14,8,13,Standard,455,0.33,339,Standard
50,15606,3,4,0.06,4,7,3,2,Good,257,0.39,402,Poor
25,28230,8,6,0.32,7,49,16,14,Bad,2989,0.39,89,Standard
41,112362,4,4,0.05,4,25,20,2,Standard,1358,0.41,285,Standard
49,32314,2,5,0.05,3,6,11,2,Good,1339,0.4,267,Good
46,99127,8,3,0.1,4,17,19,7,Standard,1126,0.24,320,Standard
43,135895,8,4,0.06,0,12,17,3,Good,429,0.34,227,Good
22,29608,7,8,0.31,7,42,16,10,Bad,1286,0.34,185,Poor
30,29999,10,9,0.15,5,42,21,13,Bad,2593,0.29,200,Poor
31,15746,4,3,0.18,5,22,12,7,Standard,2098,0.39,143,Poor
32,30922,1,5,0.12,2,19,1,2,Good,957,0.41,262,Poor
37,25530,3,4,0.19,0,16,13,8,Standard,761,0.36,384,Standard
52,110786,5,7,0.05,3,12,15,2,Standard,226,0.25,299,Standard
34,120366,4,7,0.02,4,12,8,6,Good,1396,0.4,258,Poor
52,13074,8,7,0.08,1,9,13,6,Good,1048,0.26,366,Good
38,14224,8,6,0.13,1,24,10,5,Standard,1343,0.37,399,Standard
46,142170,3,4,0.08,2,3,1,3,Good,282,0.42,298,Good
46,19951,1,1,0.12,2,15,6,5,Good,1463,0.24,399,Good
40,122978,0,1,0.09,3,14,3,3,Good,1197,0.44,341,Good
32,7821,8,10,0.29,6,62,14,7,Bad,2924,0.3,124,Poor
26,34128,6,8,0.31,6,18,19,13,Bad,2626,0.35,72,Poor
38,10034,4,4,0.28,6,24,9,7,Standard,1669,0.34,118,Standard
41,20540,0,4,0.08,1,3,3,2,Good,1118,0.32,194,Standard
52,38175,1,2,0.07,3,1,8,2,Good,315,0.28,340,Standard
22,116594,5,6,0.1,2,10,3,0,Good,1124,0.24,357,Standard
39,39399,6,6,0.17,2,27,18,15,Standard,2206,0.36,144,Poor
25,142113,6,4,0.17,3,18,12,9,Standard,1037,0.31,274,Standard
48,65299,4,5,0.08,2,10,0,2,Good,1177,0.33,317,Poor
52,33200,6,4,0.2,2,25,18,7,Standard,1290,0.33,216,Standard
41,82289,8,8,0.22,5,29,16,12,Bad,4736,0.24,114,Poor
37,65778,5,3,0.11,4,26,18,6,Standard,705,0.31,202,Standard
44,12016,6,3,0.14,3,30,10,0,Standard,583,0.35,368,Standard
50,19180,8,4,0.18,4,5,17,6,Standard,1127,0.29,302,Standard
31,60552,3,7,0.12,3,35,11,4,Good,463,0.35,232,Poor
40,9141,9,6,0.33,5,59,19,13,Bad,2506,0.25,200,Poor
40,98197,5,6,0.06,3,30,8,7,Standard,627,0.4,300,Standard
32,63197,6,3,0.13,3,16,12,12,Standard,1435,0.4,290,Standard
36,10007,4,4,0.08,7,7,6,7,Standard,2195,0.35,242,Standard
39,72241,8,4,0.04,1,27,12,7,Good,843,0.25,353,Good
25,7612,8,5,0.16,6,60,25,13,Bad,1514,0.39,108,Standard
46,16953,4,5,0.04,2,1,4,5,Good,554,0.25,335,Poor
49,16866,4,4,0.19,1,27,12,6,Standard,1385,0.35,347,Standard
33,18969,1,7,0.08,0,13,9,4,Good,54,0.25,284,Poor
55,36154,5,3,0.03,2,9,8,2,Good,651,0.38,238,Good
36,17655,8,10,0.34,6,60,25,10,Bad,2725,0.3,108,Poor
30,7103,6,5,0.28,6,55,11,7,Standard,2114,0.38,158,Poor
43,83845,5,7,0.04,2,8,8,4,Good,49,0.39,306,Good
52,32663,1,5,0.03,4,8,4,2,Good,1067,0.36,203,Good
45,132537,3,2,0.12,1,12,1,1,Good,382,0.37,360,Good
33,15713,7,8,0.23,2,46,12,7,Standard,2271,0.32,132,Standard
31,62050,8,7,0.22,7,18,23,13,Bad,4293,0.26,72,Poor
37,18744,8,7,0.29,9,21,23,12,Bad,4432,0.3,74,Standard
22,38539,4,2,0.03,1,8,2,0,Good,526,0.35,362,Good
47,48411,8,3,0.03,4,17,11,3,Good,821,0.31,226,Good
29,36490,4,5,0.08,4,19,19,12,Standard,581,0.36,148,Standard
22,177150,2,6,0.06,4,2,11,4,Good,429,0.39,260,Standard
23,151722,5,5,0.02,2,11,0,1,Good,218,0.21,264,Good
27,62316,8,4,0.07,2,12,9,1,Standard,417,0.39,322,Standard
50,96275,6,6,0.19,1,7,18,5,Standard,999,0.28,321,Standard
36,57219,8,6,0.33,6,18,24,13,Bad,4935,0.33,44,Standard
21,53916,8,7,0.28,8,57,21,6,Bad,2560,0.28,60,Poor
42,69692,9,5,0.32,7,15,21,9,Bad,2128,0.25,160,Poor
34,15735,3,6,0.07,2,19,9,7,Standard,1574,0.26,113,Standard
27,55000,3,6,0.12,0,17,14,0,Standard,815,0.28,198,Standard
34,50811,6,4,0.2,3,18,14,5,Standard,1274,0.36,76,Standard
28,59448,9,7,0.23,6,35,21,6,Bad,3825,0.39,167,Standard
47,18549,4,4,0.06,0,13,0,0,Good,1247,0.37,246,Good
50,134810,5,7,0.06,2,2,1,9,Good,744,0.31,392,Good
28,162550,0,5,0.11,1,13,8,4,Good,789,0.34,201,Good
31,14884,8,5,0.01,4,25,15,4,Good,1122,0.36,344,Poor
39,31732,4,4,0.01,4,30,12,4,Good,1404,0.25,366,Poor
33,9349,6,6,0.19,9,39,15,9,Bad,4833,0.29,46,Poor
44,135115,4,6,0.18,2,17,9,2,Standard,269,0.27,228,Standard
44,56760,6,5,0.19,9,40,24,12,Bad,4701,0.36,82,Poor
33,108223,5,6,0.07,2,9,12,3,Standard,977,0.34,328,Standard
43,68665,7,6,0.13,7,11,20,11,Standard,420,0.36,152,Standard
43,15305,0,7,0.02,2,14,2,0,Good,642,0.28,189,Standard
50,99089,5,1,0.09,1,4,1,2,Good,338,0.27,399,Standard
23,9307,4,3,0.15,3,23,14,5,Standard,486,0.31,142,Standard
40,38685,1,5,0.03,2,6,12,5,Good,1340,0.24,360,Good
38,7506,10,7,0.22,5,53,21,11,Bad,4183,0.22,136,Standard
43,17448,9,5,0.2,9,43,17,14,Bad,2575,0.4,190,Standard
41,42241,0,5,0.11,0,5,9,9,Good,190,0.28,310,Good
42,132414,3,3,0.19,0,13,16,4,Standard,53,0.37,312,Good
54,92794,4,7,0.07,0,27,16,3,Standard,1269,0.29,341,Standard
21,34927,6,4,0.04,0,13,21,6,Good,1158,0.39,320,Standard
37,94052,4,4,0.13,1,25,16,8,Standard,76,0.33,258,Standard
23,16355,9,8,0.23,3,54,16,13,Standard,1696,0.29,106,Poor
37,18472,10,6,0.26,4,51,27,10,Bad,2031,0.41,240,Poor
54,42731,0,4,0.01,2,9,0,1,Good,511,0.38,296,Standard
45,11968,3,4,0.16,2,20,18,0,Standard,685,0.37,304,Standard
32,33386,7,5,0.11,3,26,10,6,Standard,1343,0.4,172,Standard
36,174304,1,3,0.12,0,5,7,4,Good,461,0.35,366,Standard
45,15932,6,6,0.11,1,27,12,1,Standard,1124,0.28,335,Standard
44,55583,6,5,0.11,2,23,17,6,Standard,2019,0.31,209,Standard
42,8365,6,8,0.19,5,36,16,11,Bad,2758,0.41,59,Standard
42,19167,6,6,0.15,4,31,16,6,Standard,1297,0.35,84,Poor
44,14976,7,6,0.16,0,29,22,3,Standard,69,0.31,336,Standard
33,62874,3,4,0.15,4,21,19,7,Standard,527,0.35,245,Standard
37,17164,10,6,0.19,9,34,16,7,Bad,4813,0.37,132,Standard
32,37302,3,2,0.12,4,13,12,5,Good,907,0.3,267,Good
32,7526,8,8,0.27,9,40,22,10,Bad,2526,0.25,22,Standard
21,19653,3,3,0.1,4,6,14,3,Good,919,0.32,215,Good
30,174179,1,7,0.08,1,3,5,6,Good,1355,0.42,352,Standard
51,38107,8,7,0.12,3,30,16,2,Standard,1472,0.25,274,Standard
29,20308,6,5,0.28,6,33,11,15,Standard,1967,0.35,118,Poor
37,13603,6,5,0.16,6,20,17,5,Standard,45,0.38,240,Good
34,12943,5,5,0.09,6,20,14,6,Standard,265,0.39,88,Standard
40,177243,4,6,0.03,3,9,12,3,Good,488,0.28,347,Good
41,35518,8,6,0.09,3,12,16,9,Standard,1270,0.4,137,Good
43,8875,8,9,0.27,2,26,14,15,Standard,1353,0.3,212,Poor
36,16708,6,9,0.22,8,55,18,12,Bad,2674,0.28,180,Poor
29,141753,5,5,0.13,4,10,14,6,Standard,477,0.24,214,Good
23,63206,9,8,0.27,8,41,15,13,Bad,4523,0.4,164,Standard
28,63635,3,4,0.02,2,12,10,7,Good,122,0.35,300,Standard
31,126849,2,3,0.03,0,11,6,8,Good,518,0.39,346,Standard
26,13065,5,6,0.13,2,14,11,5,Standard,1203,0.38,268,Standard
24,42941,6,9,0.26,3,43,17,7,Standard,2328,0.33,135,Poor
33,37824,5,2,0.03,3,4,8,5,Good,69,0.37,334,Standard
53,66732,0,2,0.03,0,8,8,5,Good,244,0.3,233,Good
39,115800,4,4,0.09,1,2,2,2,Good,194,0.27,308,Poor
30,8610,5,7,0.05,3,27,11,13,Standard,1426,0.28,220,Standard
27,49023,5,5,0.13,2,6,9,3,Standard,270,0.34,323,Standard
28,59751,7,7,0.17,4,22,13,9,Standard,1485,0.39,192,Poor
44,118644,1,2,0.09,1,13,1,6,Good,1100,0.43,380,Standard
42,63331,5,4,0.2,0,9,19,6,Standard,362,0.27,104,Standard
50,122713,5,6,0.14,2,11,10,1,Standard,128,0.37,278,Standard
22,82840,1,6,0.01,1,6,2,4,Good,360,0.36,228,Poor
31,62545,3,6,0.07,4,27,10,8,Standard,1138,0.27,212,Poor
56,32011,2,6,0.04,3,12,9,1,Good,1215,0.25,312,Poor
30,23679,8,5,0.15,0,29,18,4,Standard,622,0.39,233,Standard
28,62139,6,10,0.26,8,59,23,8,Bad,2603,0.39,102,Poor
32,59438,6,7,0.33,9,38,22,9,Bad,2259,0.28,116,Standard
30,61476,6,6,0.22,5,35,24,14,Bad,3322,0.36,102,Standard
24,16198,4,7,0.04,2,12,5,0,Good,1439,0.35,375,Standard
23,20938,6,9,0.23,5,12,15,11,Bad,1657,0.27,123,Standard
24,21364,3,3,0.17,1,9,15,6,Standard,1178,0.32,359,Standard
34,96826,8,5,0.07,0,13,19,5,Standard,1290,0.26,314,Standard
44,16808,8,6,0.11,7,8,16,5,Standard,1330,0.29,240,Poor
45,16718,8,10,0.25,5,61,20,6,Bad,2931,0.33,106,Standard
39,83355,6,4,0.08,2,11,15,4,Standard,677,0.26,362,Standard
44,11646,6,3,0.14,2,14,20,6,Standard,847,0.31,225,Standard
37,25621,3,7,0.03,2,14,10,2,Good,1336,0.32,374,Standard
45,42947,4,7,0.15,2,15,20,12,Standard,2266,0.35,185,Standard
37,44036,2,3,0.11,4,15,3,4,Good,992,0.36,354,Poor
44,155726,2,3,0.08,0,10,1,7,Good,1170,0.39,366,Poor
51,47280,5,3,0.17,0,12,20,3,Standard,1134,0.27,332,Standard
39,108161,5,6,0.01,2,29,13,4,Good,633,0.25,303,Good
39,19910,9,10,0.15,5,59,24,16,Bad,3957,0.32,74,Standard
25,113383,1,4,0.06,4,4,1,0,Good,82,0.26,214,Good
45,51552,6,4,0.18,3,11,10,6,Standard,1710,0.38,178,Standard
36,39579,6,5,0.1,6,19,13,5,Standard,634,0.34,204,Standard
45,120260,4,5,0.14,1,14,15,2,Standard,1436,0.43,252,Poor
48,36346,8,6,0.11,3,21,15,4,Good,1252,0.28,266,Standard
32,12303,6,3,0.09,3,23,16,5,Standard,1328,0.32,225,Standard
28,41155,9,10,0.17,6,30,19,7,Bad,3581,0.22,68,Poor
27,15610,6,10,0.28,9,37,24,13,Bad,2072,0.3,186,Poor
43,32178,10,6,0.21,6,42,9,9,Standard,2165,0.34,149,Standard
34,20522,4,5,0.05,3,26,13,12,Standard,233,0.4,228,Standard
28,8022,9,10,0.23,6,57,16,7,Bad,3274,0.34,100,Poor
22,134150,4,3,0.1,2,13,1,5,Good,1295,0.32,195,Standard
43,34204,10,5,0.17,6,31,19,14,Bad,3285,0.33,22,Poor
36,39944,4,3,0.07,1,0,0,1,Good,364,0.32,196,Good
34,16808,0,7,0.1,2,15,0,3,Good,582,0.37,208,Good
31,72116,4,7,0.09,2,22,13,8,Standard,243,0.37,226,Standard
50,140390,5,2,0.04,3,3,0,6,Good,1423,0.39,375,Good
27,25198,3,6,0.19,3,29,9,7,Standard,1261,0.39,209,Poor
32,166907,5,5,0.11,4,10,6,4,Good,929,0.38,213,Standard
44,9197,8,6,0.15,2,7,8,11,Standard,1306,0.34,233,Poor
43,20492,0,7,0.02,1,8,0,4,Good,429,0.26,312,Standard
34,81411,5,5,0.06,1,13,2,5,Good,467,0.42,347,Good
26,18503,3,7,0.15,7,27,7,8,Standard,742,0.31,198,Poor
22,17855,8,5,0.31,8,27,23,12,Bad,3122,0.33,23,Poor
46,35235,8,9,0.15,3,32,15,8,Bad,2388,0.26,200,Standard
45,66881,3,5,0.17,2,22,19,4,Standard,240,0.37,168,Standard
38,16893,6,9,0.25,3,57,16,14,Standard,1397,0.25,180,Poor
45,76391,1,4,0.1,2,27,5,4,Good,614,0.25,297,Standard
45,60572,3,3,0.2,2,29,16,13,Standard,1582,0.29,128,Standard
40,14208,3,4,0.04,0,11,3,3,Good,605,0.26,392,Good
33,35836,4,6,0.18,3,13,17,4,Standard,1004,0.38,381,Standard
55,122008,2,7,0.07,0,15,8,2,Good,432,0.37,189,Good
44,11956,6,6,0.11,4,30,12,7,Standard,809,0.36,215,Standard
39,20949,4,5,0.08,1,24,15,6,Standard,486,0.28,232,Standard
24,37788,3,4,0.09,2,13,1,8,Good,1124,0.38,300,Good
30,29695,8,3,0.03,0,8,15,3,Good,133,0.26,288,Good
39,83386,10,6,0.23,7,36,24,8,Bad,4972,0.4,75,Standard
37,10299,5,9,0.28,2,19,19,8,Standard,1710,0.27,182,Standard
24,73871,8,10,0.33,7,17,14,15,Standard,2284,0.3,202,Standard
29,16471,3,8,0.21,4,10,17,15,Standard,1898,0.31,168,Standard
23,65187,6,6,0.08,3,23,9,1,Standard,441,0.38,246,Standard
38,37131,5,7,0.08,1,8,4,7,Good,88,0.37,333,Standard
23,140254,5,5,0.07,3,7,12,4,Good,84,0.41,272,Good
23,17750,9,10,0.28,7,21,21,15,Bad,4385,0.27,142,Standard
21,125491,1,3,0.05,3,7,7,4,Good,587,0.35,222,Good
28,15687,6,4,0.21,4,11,19,8,Standard,1943,0.31,126,Standard
43,7304,7,8,0.32,8,42,18,9,Bad,4405,0.26,120,Poor
26,42021,8,7,0.03,4,17,12,4,Standard,271,0.35,284,Standard
47,27814,3,3,0.12,1,17,14,6,Good,425,0.41,244,Poor
34,49995,8,6,0.22,6,20,18,10,Bad,1783,0.27,227,Poor
30,15656,8,10,0.18,6,32,16,14,Bad,1997,0.3,171,Poor
24,17975,6,5,0.32,9,61,25,13,Bad,1263,0.26,149,Poor
52,20871,2,2,0.02,3,13,2,4,Good,1177,0.26,210,Standard
43,30257,10,6,0.33,5,46,22,14,Bad,2437,0.3,224,Poor
43,99565,8,5,0.2,0,22,7,6,Standard,551,0.31,284,Standard
21,58698,8,4,0.1,2,20,14,5,Good,453,0.41,190,Standard
29,31461,7,3,0.12,5,29,11,6,Standard,886,0.25,126,Standard
30,71677,5,6,0.16,0,6,11,0,Standard,130,0.32,213,Standard
21,17856,8,6,0.23,6,41,21,10,Bad,1431,0.37,216,Poor
43,44080,5,5,0.1,3,17,8,5,Good,443,0.4,245,Standard
48,31557,0,5,0.06,2,10,12,5,Good,1323,0.35,291,Poor
54,61669,3,6,0.13,0,23,18,6,Standard,1083,0.25,393,Standard
35,34514,4,6,0.09,4,29,10,7,Standard,841,0.37,216,Poor
28,85589,8,4,0.08,4,27,11,4,Standard,428,0.28,305,Good
50,21053,4,4,0.02,2,30,20,1,Good,586,0.36,299,Poor
42,7064,10,9,0.19,6,55,22,10,Bad,3918,0.26,161,Poor
35,72588,7,4,0.19,2,22,8,6,Standard,1031,0.28,266,Standard
26,60585,8,6,0.08,2,22,9,5,Good,461,0.41,298,Poor
50,28446,3,5,0.05,4,2,8,4,Good,640,0.34,327,Good
28,30261,3,5,0.05,3,10,18,4,Good,595,0.32,267,Good
36,52979,9,8,0.25,6,38,16,14,Bad,2861,0.24,104,Poor
31,53106,9,5,0.17,5,17,15,16,Bad,4381,0.32,174,Poor
26,12985,4,3,0.15,1,5,13,5,Standard,355,0.28,375,Standard
54,41821,5,4,0.11,2,1,12,0,Good,791,0.33,312,Standard
38,18721,4,5,0.28,3,17,11,5,Standard,2646,0.24,100,Standard
21,173968,4,7,0.01,1,6,2,5,Good,1486,0.35,368,Standard
43,9754,7,6,0.21,6,28,16,10,Bad,4074,0.27,48,Standard
28,50173,6,4,0.11,3,19,16,5,Standard,293,0.27,308,Poor
31,15627,6,6,0.15,3,30,10,4,Standard,983,0.31,386,Standard
37,64397,7,5,0.11,0,21,15,11,Standard,1001,0.27,233,Standard
25,68171,6,3,0.04,1,24,11,2,Standard,1049,0.34,264,Standard
30,9599,3,9,0.21,5,13,21,12,Standard,1935,0.36,153,Poor
43,20133,8,7,0.18,6,12,18,7,Standard,1265,0.33,161,Standard
30,100914,5,5,0.16,5,28,9,4,Standard,1410,0.4,105,Standard
28,99903,8,6,0.08,0,16,11,7,Good,29,0.26,194,Standard
41,119827,8,3,0.05,3,19,17,1,Standard,1003,0.29,286,Standard
33,39232,5,7,0.01,0,14,12,5,Good,487,0.4,323,Poor
36,19590,3,7,0.14,2,10,11,4,Standard,1131,0.26,230,Standard
50,83503,1,4,0.01,2,16,11,5,Good,796,0.38,335,Good
52,143372,2,4,0.1,0,15,7,0,Good,159,0.32,276,Good
51,131617,4,3,0.15,0,13,20,7,Standard,929,0.37,266,Poor
21,15054,10,9,0.2,6,17,21,7,Bad,1539,0.29,194,Standard
50,18268,3,4,0.06,4,24,14,6,Standard,393,0.32,310,Standard
42,41507,10,10,0.15,7,28,20,14,Bad,4615,0.3,71,Standard
53,33815,5,1,0.02,4,14,3,3,Good,91,0.32,189,Good
42,20474,6,5,0.16,3,30,12,6,Standard,1123,0.28,214,Poor
41,38894,8,10,0.32,7,22,22,10,Bad,3997,0.35,76,Standard
24,11866,7,7,0.2,1,17,22,6,Standard,276,0.38,296,Standard
35,83359,8,6,0.13,3,22,10,0,Standard,1024,0.31,220,Good
30,52595,9,7,0.28,6,41,12,13,Standard,1394,0.32,233,Poor
34,101462,4,3,0.08,2,26,20,8,Standard,251,0.35,184,Poor
22,136680,0,5,0.03,1,3,1,0,Good,1269,0.43,222,Good
37,9339,9,6,0.28,7,35,22,9,Bad,2637,0.3,45,Standard
47,108172,3,1,0.07,4,3,4,1,Good,539,0.3,312,Good
35,18873,3,1,0.04,4,9,12,3,Good,1170,0.31,243,Standard
27,75044,0,1,0.02,2,13,15,4,Good,933,0.27,348,Good
47,11162,8,7,0.17,4,28,9,2,Standard,1235,0.25,292,Poor
39,19934,7,5,0.14,2,31,22,7,Standard,311,0.35,214,Standard
50,65912,0,4,0.08,0,13,6,6,Good,300,0.36,195,Good
21,15399,4,3,0.18,1,28,17,2,Standard,556,0.23,341,Standard
54,66174,8,7,0.18,4,19,10,4,Standard,951,0.4,252,Poor
35,9597,6,5,0.06,3,23,10,6,Standard,289,0.38,352,Poor
32,19942,7,9,0.2,6,51,25,14,Bad,4542,0.37,69,Poor
25,7912,9,8,0.29,6,49,19,11,Standard,1494,0.39,135,Poor
34,22488,1,3,0.06,1,10,14,3,Good,590,0.26,195,Standard
36,22250,4,4,0.07,0,20,4,2,Good,1443,0.33,366,Poor
47,86189,5,3,0.12,4,28,6,8,Good,1425,0.37,222,Poor
49,19848,5,3,0.01,2,13,10,8,Good,1278,0.36,401,Good
22,15081,8,7,0.22,4,30,16,15,Standard,1987,0.25,206,Poor
36,30776,6,6,0.26,9,50,25,12,Bad,1309,0.33,190,Standard
25,20513,6,9,0.22,2,43,17,6,Standard,1653,0.4,185,Standard
55,28087,3,2,0.11,1,14,7,8,Good,1447,0.33,363,Standard
53,43504,5,4,0.02,2,10,2,6,Good,530,0.33,368,Good
30,73747,3,5,0.07,2,28,14,10,Standard,497,0.36,368,Standard
35,19328,3,5,0.02,2,7,4,3,Good,160,0.31,207,Good
36,16564,8,5,0.12,6,25,12,5,Standard,1382,0.37,140,Good
50,92041,3,7,0.07,0,2,11,4,Good,590,0.39,294,Standard
37,40514,2,5,0.03,3,5,7,5,Good,151,0.26,219,Good
30,12660,5,7,0.15,0,8,14,2,Standard,456,0.33,304,Poor
39,69847,10,8,0.28,6,22,26,14,Bad,3413,0.35,65,Standard
32,79837,2,7,0.1,1,14,5,4,Good,585,0.26,394,Standard
28,38073,10,6,0.2,5,38,18,9,Standard,1644,0.32,118,Poor
55,28836,5,2,0.06,0,5,19,5,Good,1224,0.24,335,Good
26,146351,6,7,0.2,4,29,15,5,Standard,501,0.27,232,Standard
51,29044,5,6,0.12,0,4,2,4,Good,1078,0.3,252,Standard
45,18759,8,6,0.34,9,32,18,10,Bad,4983,0.39,14,Poor
36,81497,7,6,0.32,6,37,16,8,Bad,3056,0.3,9,Poor
43,35205,3,7,0.06,1,8,5,5,Good,851,0.24,213,Standard
27,121948,7,3,0.07,2,26,20,9,Standard,514,0.38,237,Poor
25,86468,3,5,0.01,4,10,0,3,Good,212,0.39,288,Standard
47,124052,2,6,0.02,3,23,3,4,Good,330,0.39,267,Poor
21,42888,5,2,0.12,1,13,3,9,Good,131,0.29,402,Good
