Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Credit_Score
24,42941,6,9,0.26,3,43,17,7,Standard,2328,0.33,135,1
33,37824,5,2,0.03,3,4,8,5,Good,69,0.37,334,0
53,66732,0,2,0.03,0,8,8,5,Good,244,0.3,233,0
39,115800,4,4,0.09,1,2,2,2,Good,194,0.27,308,1
30,8610,5,7,0.05,3,27,11,13,Standard,1426,0.28,220,0
27,49023,5,5,0.13,2,6,9,3,Standard,270,0.34,323,0
28,59751,7,7,0.17,4,22,13,9,Standard,1485,0.39,192,1
44,118644,1,2,0.09,1,13,1,6,Good,1100,0.43,380,0
42,63331,5,4,0.2,0,9,19,6,Standard,362,0.27,104,0
50,122713,5,6,0.14,2,11,10,1,Standard,128,0.37,278,0
22,82840,1,6,0.01,1,6,2,4,Good,360,0.36,228,1
31,62545,3,6,0.07,4,27,10,8,Standard,1138,0.27,212,1
56,32011,2,6,0.04,3,12,9,1,Good,1215,0.25,312,1
30,23679,8,5,0.15,0,29,18,4,Standard,622,0.39,233,0
28,62139,6,10,0.26,8,59,23,8,Bad,2603,0.39,102,1
32,59438,6,7,0.33,9,38,22,9,Bad,2259,0.28,116,0
30,61476,6,6,0.22,5,35,24,14,Bad,3322,0.36,102,0
24,16198,4,7,0.04,2,12,5,0,Good,1439,0.35,375,0
23,20938,6,9,0.23,5,12,15,11,Bad,1657,0.27,123,0
24,21364,3,3,0.17,1,9,15,6,Standard,1178,0.32,359,0
34,96826,8,5,0.07,0,13,19,5,Standard,1290,0.26,314,0
44,16808,8,6,0.11,7,8,16,5,Standard,1330,0.29,240,1
45,16718,8,10,0.25,5,61,20,6,Bad,2931,0.33,106,0
39,83355,6,4,0.08,2,11,15,4,Standard,677,0.26,362,0
44,11646,6,3,0.14,2,14,20,6,Standard,847,0.31,225,0
37,25621,3,7,0.03,2,14,10,2,Good,1336,0.32,374,0
45,42947,4,7,0.15,2,15,20,12,Standard,2266,0.35,185,0
37,44036,2,3,0.11,4,15,3,4,Good,992,0.36,354,1
44,155726,2,3,0.08,0,10,1,7,Good,1170,0.39,366,1
51,47280,5,3,0.17,0,12,20,3,Standard,1134,0.27,332,0
39,108161,5,6,0.01,2,29,13,4,Good,633,0.25,303,0
39,19910,9,10,0.15,5,59,24,16,Bad,3957,0.32,74,0
25,113383,1,4,0.06,4,4,1,0,Good,82,0.26,214,0
45,51552,6,4,0.18,3,11,10,6,Standard,1710,0.38,178,0
36,39579,6,5,0.1,6,19,13,5,Standard,634,0.34,204,0
45,120260,4,5,0.14,1,14,15,2,Standard,1436,0.43,252,1
48,36346,8,6,0.11,3,21,15,4,Good,1252,0.28,266,0
32,12303,6,3,0.09,3,23,16,5,Standard,1328,0.32,225,0
28,41155,9,10,0.17,6,30,19,7,Bad,3581,0.22,68,1
27,15610,6,10,0.28,9,37,24,13,Bad,2072,0.3,186,1
43,32178,10,6,0.21,6,42,9,9,Standard,2165,0.34,149,0
34,20522,4,5,0.05,3,26,13,12,Standard,233,0.4,228,0
28,8022,9,10,0.23,6,57,16,7,Bad,3274,0.34,100,1
22,134150,4,3,0.1,2,13,1,5,Good,1295,0.32,195,0
43,34204,10,5,0.17,6,31,19,14,Bad,3285,0.33,22,1
36,39944,4,3,0.07,1,0,0,1,Good,364,0.32,196,0
34,16808,0,7,0.1,2,15,0,3,Good,582,0.37,208,0
31,72116,4,7,0.09,2,22,13,8,Standard,243,0.37,226,0
50,140390,5,2,0.04,3,3,0,6,Good,1423,0.39,375,0
27,25198,3,6,0.19,3,29,9,7,Standard,1261,0.39,209,1
32,166907,5,5,0.11,4,10,6,4,Good,929,0.38,213,0
44,9197,8,6,0.15,2,7,8,11,Standard,1306,0.34,233,1
43,20492,0,7,0.02,1,8,0,4,Good,429,0.26,312,0
34,81411,5,5,0.06,1,13,2,5,Good,467,0.42,347,0
26,18503,3,7,0.15,7,27,7,8,Standard,742,0.31,198,1
22,17855,8,5,0.31,8,27,23,12,Bad,3122,0.33,23,1
46,35235,8,9,0.15,3,32,15,8,Bad,2388,0.26,200,0
45,66881,3,5,0.17,2,22,19,4,Standard,240,0.37,168,0
38,16893,6,9,0.25,3,57,16,14,Standard,1397,0.25,180,1
45,76391,1,4,0.1,2,27,5,4,Good,614,0.25,297,0
45,60572,3,3,0.2,2,29,16,13,Standard,1582,0.29,128,0
40,14208,3,4,0.04,0,11,3,3,Good,605,0.26,392,0
33,35836,4,6,0.18,3,13,17,4,Standard,1004,0.38,381,0
55,122008,2,7,0.07,0,15,8,2,Good,432,0.37,189,0
44,11956,6,6,0.11,4,30,12,7,Standard,809,0.36,215,0
39,20949,4,5,0.08,1,24,15,6,Standard,486,0.28,232,0
24,37788,3,4,0.09,2,13,1,8,Good,1124,0.38,300,0
30,29695,8,3,0.03,0,8,15,3,Good,133,0.26,288,0
39,83386,10,6,0.23,7,36,24,8,Bad,4972,0.4,75,0
37,10299,5,9,0.28,2,19,19,8,Standard,1710,0.27,182,0
24,73871,8,10,0.33,7,17,14,15,Standard,2284,0.3,202,0
29,16471,3,8,0.21,4,10,17,15,Standard,1898,0.31,168,0
23,65187,6,6,0.08,3,23,9,1,Standard,441,0.38,246,0
38,37131,5,7,0.08,1,8,4,7,Good,88,0.37,333,0
23,140254,5,5,0.07,3,7,12,4,Good,84,0.41,272,0
23,17750,9,10,0.28,7,21,21,15,Bad,4385,0.27,142,0
21,125491,1,3,0.05,3,7,7,4,Good,587,0.35,222,0
28,15687,6,4,0.21,4,11,19,8,Standard,1943,0.31,126,0
43,7304,7,8,0.32,8,42,18,9,Bad,4405,0.26,120,1
26,42021,8,7,0.03,4,17,12,4,Standard,271,0.35,284,0
47,27814,3,3,0.12,1,17,14,6,Good,425,0.41,244,1
34,49995,8,6,0.22,6,20,18,10,Bad,1783,0.27,227,1
30,15656,8,10,0.18,6,32,16,14,Bad,1997,0.3,171,1
24,17975,6,5,0.32,9,61,25,13,Bad,1263,0.26,149,1
52,20871,2,2,0.02,3,13,2,4,Good,1177,0.26,210,0
43,30257,10,6,0.33,5,46,22,14,Bad,2437,0.3,224,1
43,99565,8,5,0.2,0,22,7,6,Standard,551,0.31,284,0
21,58698,8,4,0.1,2,20,14,5,Good,453,0.41,190,0
29,31461,7,3,0.12,5,29,11,6,Standard,886,0.25,126,0
30,71677,5,6,0.16,0,6,11,0,Standard,130,0.32,213,0
21,17856,8,6,0.23,6,41,21,10,Bad,1431,0.37,216,1
43,44080,5,5,0.1,3,17,8,5,Good,443,0.4,245,0
48,31557,0,5,0.06,2,10,12,5,Good,1323,0.35,291,1
54,61669,3,6,0.13,0,23,18,6,Standard,1083,0.25,393,0
35,34514,4,6,0.09,4,29,10,7,Standard,841,0.37,216,1
28,85589,8,4,0.08,4,27,11,4,Standard,428,0.28,305,0
50,21053,4,4,0.02,2,30,20,1,Good,586,0.36,299,1
42,7064,10,9,0.19,6,55,22,10,Bad,3918,0.26,161,1
35,72588,7,4,0.19,2,22,8,6,Standard,1031,0.28,266,0
26,60585,8,6,0.08,2,22,9,5,Good,461,0.41,298,1
50,28446,3,5,0.05,4,2,8,4,Good,640,0.34,327,0
28,30261,3,5,0.05,3,10,18,4,Good,595,0.32,267,0
36,52979,9,8,0.25,6,38,16,14,Bad,2861,0.24,104,1
31,53106,9,5,0.17,5,17,15,16,Bad,4381,0.32,174,1
26,12985,4,3,0.15,1,5,13,5,Standard,355,0.28,375,0
54,41821,5,4,0.11,2,1,12,0,Good,791,0.33,312,0
38,18721,4,5,0.28,3,17,11,5,Standard,2646,0.24,100,0
21,173968,4,7,0.01,1,6,2,5,Good,1486,0.35,368,0
43,9754,7,6,0.21,6,28,16,10,Bad,4074,0.27,48,0
28,50173,6,4,0.11,3,19,16,5,Standard,293,0.27,308,1
31,15627,6,6,0.15,3,30,10,4,Standard,983,0.31,386,0
37,64397,7,5,0.11,0,21,15,11,Standard,1001,0.27,233,0
25,68171,6,3,0.04,1,24,11,2,Standard,1049,0.34,264,0
30,9599,3,9,0.21,5,13,21,12,Standard,1935,0.36,153,1
43,20133,8,7,0.18,6,12,18,7,Standard,1265,0.33,161,0
30,100914,5,5,0.16,5,28,9,4,Standard,1410,0.4,105,0
28,99903,8,6,0.08,0,16,11,7,Good,29,0.26,194,0
41,119827,8,3,0.05,3,19,17,1,Standard,1003,0.29,286,0
33,39232,5,7,0.01,0,14,12,5,Good,487,0.4,323,1
36,19590,3,7,0.14,2,10,11,4,Standard,1131,0.26,230,0
50,83503,1,4,0.01,2,16,11,5,Good,796,0.38,335,0
52,143372,2,4,0.1,0,15,7,0,Good,159,0.32,276,0
51,131617,4,3,0.15,0,13,20,7,Standard,929,0.37,266,1
21,15054,10,9,0.2,6,17,21,7,Bad,1539,0.29,194,0
50,18268,3,4,0.06,4,24,14,6,Standard,393,0.32,310,0
42,41507,10,10,0.15,7,28,20,14,Bad,4615,0.3,71,0
53,33815,5,1,0.02,4,14,3,3,Good,91,0.32,189,0
42,20474,6,5,0.16,3,30,12,6,Standard,1123,0.28,214,1
41,38894,8,10,0.32,7,22,22,10,Bad,3997,0.35,76,0
24,11866,7,7,0.2,1,17,22,6,Standard,276,0.38,296,0
35,83359,8,6,0.13,3,22,10,0,Standard,1024,0.31,220,0
30,52595,9,7,0.28,6,41,12,13,Standard,1394,0.32,233,1
34,101462,4,3,0.08,2,26,20,8,Standard,251,0.35,184,1
22,136680,0,5,0.03,1,3,1,0,Good,1269,0.43,222,0
37,9339,9,6,0.28,7,35,22,9,Bad,2637,0.3,45,0
47,108172,3,1,0.07,4,3,4,1,Good,539,0.3,312,0
35,18873,3,1,0.04,4,9,12,3,Good,1170,0.31,243,0
27,75044,0,1,0.02,2,13,15,4,Good,933,0.27,348,0
47,11162,8,7,0.17,4,28,9,2,Standard,1235,0.25,292,1
39,19934,7,5,0.14,2,31,22,7,Standard,311,0.35,214,0
50,65912,0,4,0.08,0,13,6,6,Good,300,0.36,195,0
21,15399,4,3,0.18,1,28,17,2,Standard,556,0.23,341,0
54,66174,8,7,0.18,4,19,10,4,Standard,951,0.4,252,1
35,9597,6,5,0.06,3,23,10,6,Standard,289,0.38,352,1
32,19942,7,9,0.2,6,51,25,14,Bad,4542,0.37,69,1
25,7912,9,8,0.29,6,49,19,11,Standard,1494,0.39,135,1
34,22488,1,3,0.06,1,10,14,3,Good,590,0.26,195,0
36,22250,4,4,0.07,0,20,4,2,Good,1443,0.33,366,1
47,86189,5,3,0.12,4,28,6,8,Good,1425,0.37,222,1
49,19848,5,3,0.01,2,13,10,8,Good,1278,0.36,401,0
22,15081,8,7,0.22,4,30,16,15,Standard,1987,0.25,206,1
36,30776,6,6,0.26,9,50,25,12,Bad,1309,0.33,190,0
25,20513,6,9,0.22,2,43,17,6,Standard,1653,0.4,185,0
55,28087,3,2,0.11,1,14,7,8,Good,1447,0.33,363,0
53,43504,5,4,0.02,2,10,2,6,Good,530,0.33,368,0
30,73747,3,5,0.07,2,28,14,10,Standard,497,0.36,368,0
35,19328,3,5,0.02,2,7,4,3,Good,160,0.31,207,0
36,16564,8,5,0.12,6,25,12,5,Standard,1382,0.37,140,0
50,92041,3,7,0.07,0,2,11,4,Good,590,0.39,294,0
37,40514,2,5,0.03,3,5,7,5,Good,151,0.26,219,0
30,12660,5,7,0.15,0,8,14,2,Standard,456,0.33,304,1
39,69847,10,8,0.28,6,22,26,14,Bad,3413,0.35,65,0
32,79837,2,7,0.1,1,14,5,4,Good,585,0.26,394,0
28,38073,10,6,0.2,5,38,18,9,Standard,1644,0.32,118,1
55,28836,5,2,0.06,0,5,19,5,Good,1224,0.24,335,0
26,146351,6,7,0.2,4,29,15,5,Standard,501,0.27,232,0
51,29044,5,6,0.12,0,4,2,4,Good,1078,0.3,252,0
45,18759,8,6,0.34,9,32,18,10,Bad,4983,0.39,14,1
36,81497,7,6,0.32,6,37,16,8,Bad,3056,0.3,9,1
43,35205,3,7,0.06,1,8,5,5,Good,851,0.24,213,0
27,121948,7,3,0.07,2,26,20,9,Standard,514,0.38,237,1
25,86468,3,5,0.01,4,10,0,3,Good,212,0.39,288,0
47,124052,2,6,0.02,3,23,3,4,Good,330,0.39,267,1
21,42888,5,2,0.12,1,13,3,9,Good,131,0.29,402,0
27,59304,9,5,0.25,7,56,5,6,Standard,1653,0.33,202,1
38,58865,9,7,0.25,6,31,14,11,Standard,1340,0.32,246,0
36,16192,9,9,0.3,9,55,18,12,Bad,1860,0.23,99,1
51,84031,5,3,0.01,0,7,9,3,Good,1325,0.39,312,0
38,69197,4,4,0.18,7,28,20,8,Standard,282,0.31,143,0
50,111395,5,5,0.11,4,2,11,8,Good,939,0.41,346,0
28,29344,5,7,0.1,2,18,11,7,Standard,779,0.28,150,0
33,17770,4,5,0.04,2,6,3,1,Good,43,0.23,284,0
45,15989,5,4,0.02,4,13,15,3,Good,665,0.41,237,0
41,42776,4,4,0.03,0,11,11,2,Good,152,0.35,263,0
39,14293,6,9,0.24,6,59,21,10,Bad,3491,0.38,159,1
38,29143,8,5,0.14,3,10,13,9,Standard,518,0.24,191,0
55,43307,0,4,0.12,3,3,10,6,Good,301,0.37,290,0
26,45002,4,7,0.02,1,29,19,1,Standard,1221,0.36,220,0
36,9158,7,9,0.27,2,57,22,9,Bad,2495,0.25,161,0
31,42772,4,4,0.02,4,13,10,6,Good,1321,0.28,382,0
41,16716,10,8,0.16,8,33,16,8,Bad,4116,0.34,84,1
39,30450,6,7,0.08,3,27,15,1,Standard,203,0.24,249,0
54,22116,4,4,0.17,2,9,16,5,Standard,1099,0.29,269,0
